                           1                            2                            3                            4                            5                            6                            7 
              version_number                     compiler                        build             MESA_SDK_version                         date                    burn_min1                    burn_min2 
                       11701                   "gfortran"                      "9.2.0" "x86_64-osx-10.10-10.14-2019                   "20200110"      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                     1534                  1.0000000000000000E+005                  5.0000000000000000E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  7.9053460679587989E-002                  7.8951005888916237E-002                  7.8129685049395396E-008                  9.9999999996556233E-001                  9.7349707708779420E-001                  7.8951005888916237E-002                  7.8129685049395396E-008                  9.9999999996556233E-001                  9.7349707708779420E-001                 -1.4483082184214338E-001                 -4.7200571873370890E+001                 -1.5109491730176746E+001                 -1.4483082184214291E-001                 -2.0784445035656895E-001                 -1.0143065711151262E+000                 -4.7200571873370890E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7513910648377142E+000                 -1.3781847174430517E-001                 -4.8432529094954935E-002                  4.5347544116030347E+000                 -8.0068003719047768E-011                  7.1371609820967148E+000                  1.8900908682775113E+000                  1.7156486135198943E+001                  1.8900908682775113E+000                  7.1371609820967148E+000                  6.2027410119497195E-001                  8.4974791981252251E-001                  1.2973413009033810E+000                  6.9947230976288977E-001                  2.8036842022817776E-001                  2.9095061356106990E-003                  9.3604173520161101E-003                  3.4416106108119912E-003                  9.3604466091399986E-003                  6.9990700573098441E-001                  2.8001427260450162E-001                                        0                                        0                                        3 
                                       4                                      816                  5.3680000000000000E+005                  5.2375437381428744E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  7.2094098914789864E-002                  7.1753622405374307E-002                  7.8129682056563719E-008                  9.9999999996478117E-001                  9.7261548622165162E-001                  7.1753622405374307E-002                  7.8129682056563719E-008                  9.9999999996478117E-001                  9.7261548622165162E-001                 -1.4762070854550291E-001                 -4.7211399413921946E+001                 -1.5954589770191003E+001                 -1.4762070854550285E-001                 -2.0968280741788337E-001                 -1.0232401367673227E+000                 -4.7211399413921946E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7499654633128774E+000                 -1.5025851180043123E-001                 -5.1801346073343843E-002                  4.5414920455598127E+000                 -3.5372961633933741E-011                  7.1370035281670301E+000                  1.8897397714647075E+000                  1.7155966795607423E+001                  1.8897397714647075E+000                  7.1370035281670301E+000                  6.2028641023313613E-001                  8.4973545193926447E-001                  1.2973750671699922E+000                  6.9944760278342999E-001                  2.8038791724226336E-001                  2.8741269018510642E-003                  9.3604151774402938E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9990315322377794E-001                  2.8001649137772572E-001                                        0                                        0                                        3 
                                       5                                      815                  7.4415999999999988E+005                  5.3167249841904987E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  7.1328950115402218E-002                  6.8914403071731689E-002                  7.8129682056563719E-008                  9.9999999996478117E-001                  9.7229201193442016E-001                  6.8914403071731689E-002                  7.8129682056563719E-008                  9.9999999996478117E-001                  9.7229201193442016E-001                 -1.4884860705708478E-001                 -4.7218048523182631E+001                 -9.8999999999999986E+001                 -1.4884860705708491E-001                 -2.1037081188689732E-001                 -1.0279990550828240E+000                 -4.7218048523182631E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7495806851632563E+000                 -1.5374780117681697E-001                 -5.2776434462293839E-002                  4.5434422223377124E+000                 -2.7558009365121985E-011                  7.1368807486010040E+000                  1.8895920856813033E+000                  1.7155691687717528E+001                  1.8895920856813033E+000                  7.1368807486010040E+000                  6.2029230689215553E-001                  8.4972952240893662E-001                  1.2973911513500884E+000                  6.9943581532990451E-001                  2.8039713069002531E-001                  2.8573931607548020E-003                  9.3604141398833055E-003                  3.4416106108119938E-003                  9.3604466091399760E-003                  6.9990133227744777E-001                  2.8001753800270363E-001                                        0                                        0                                        3 
                                      10                                      810                  2.5958682111999993E+006                  5.7126312144286233E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  6.4677022634071837E-002                  6.3318093820682653E-002                  7.8129682056563719E-008                  9.9999999996478117E-001                  9.7103861805044422E-001                  6.3318093820682653E-002                  7.8129682056563719E-008                  9.9999999996478117E-001                  9.7103861805044422E-001                 -1.5674945200849033E-001                 -4.7278455188457713E+001                 -9.8999999999999986E+001                 -1.5674945200849055E-001                 -2.1320105649526336E-001                 -1.0707775751319066E+000                 -4.7278455188457713E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7479481759393281E+000                 -1.6724080173574549E-001                 -5.6257916293902394E-002                  4.5504051860009298E+000                 -4.9718795136732537E-012                  7.1357408449948831E+000                  1.8890174691759776E+000                  1.7153942827547876E+001                  1.8890174691759776E+000                  7.1357408449948831E+000                  6.2034514582429512E-001                  8.4967681946618867E-001                  1.2975342449518081E+000                  6.9933056653484271E-001                  2.8047874520594157E-001                  2.7127529564734860E-003                  9.3604049377639647E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9988532604271692E-001                  2.8002688460866326E-001                                        0                                        0                                        3 
                                      15                                      806                  7.2035107872931827E+006                  6.1085374446667471E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  5.3542085387549697E-002                  5.3467580769339218E-002                  7.8129682056563719E-008                  9.9999999996478117E-001                  9.7030044934920368E-001                  5.3467580769339218E-002                  7.8129682056563719E-008                  9.9999999996478117E-001                  9.7030044934920368E-001                 -1.6372885502015364E-001                 -4.7362031288660837E+001                 -1.5477468515471340E+001                 -1.6372885502015344E-001                 -2.1078827982788398E-001                 -1.1521838148513339E+000                 -4.7362031288660837E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7474925445080598E+000                 -1.6743156292155695E-001                 -5.5442034024271100E-002                  4.5487734214616671E+000                  2.3340507112269882E-012                  7.1340769650832980E+000                  1.8906945809026914E+000                  1.7153890273514218E+001                  1.8906945809026914E+000                  7.1340769650832980E+000                  6.2047836867263428E-001                  8.4954399965617700E-001                  1.2978934882621282E+000                  6.9906521728546867E-001                  2.8068802519419372E-001                  2.3710928390458441E-003                  9.3603810990817039E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9984707865183504E-001                  2.8005058294021040E-001                                        0                                        0                                        3 
                                      20                                      803                  1.8668799962237366E+007                  6.5044436749048709E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  3.9728202317704187E-002                  3.8965373421342986E-002                  7.8129681945541416E-008                  9.9999999996478117E-001                  9.7053078762540190E-001                  3.8965373421342986E-002                  7.8129681945541416E-008                  9.9999999996478117E-001                  9.7053078762540190E-001                 -1.6183849696263641E-001                 -4.7392009661963492E+001                 -9.8999999999999986E+001                 -1.6183849696263658E-001                 -1.9563878811931554E-001                 -1.2874929092783522E+000                 -4.7392009661963492E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7481635352982994E+000                 -1.6002918380034872E-001                 -5.3082826044146873E-002                  4.5440550055014191E+000                  6.5487624470133584E-013                  7.1332651714382314E+000                  1.8967022441240451E+000                  1.7158913557025457E+001                  1.8967022441240451E+000                  7.1332651714382314E+000                  6.2081444142293918E-001                  8.4920591792723743E-001                  1.2987992718333805E+000                  6.9839015426556483E-001                  2.8124334783716803E-001                  1.6327919723287689E-003                  9.3603134703068892E-003                  3.4416106108119938E-003                  9.3604466091399777E-003                  6.9975630254575638E-001                  2.8011329943184909E-001                                        0                                        0                                        4 
                                      25                                      794                  4.7198108322034471E+007                  6.9003499051429946E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  1.9391700323500943E-002                  9.9999999996478117E-001                  9.7121835518999755E-001                  1.7667216305050859E-002                  7.8129682056563719E-008                  9.9999999996478117E-001                  9.7121835518999755E-001                  1.7667216305050859E-002                  7.8129682056563719E-008                 -1.5457920047680895E-001                 -4.7380286986369931E+001                 -9.8999999999999986E+001                 -1.5457920047680929E-001                 -1.7241559796155090E-001                 -1.5499440464919740E+000                 -4.7380286986369931E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7491501393513640E+000                 -1.5294178256495763E-001                 -5.1512333532579599E-002                  4.5409140204782839E+000                  2.2967028058190022E-013                  7.1329480039034960E+000                  1.9084591611548680E+000                  1.7169871001505516E+001                  1.9084591611548680E+000                  7.1329480039034960E+000                  6.2167164421416732E-001                  8.4833560369734740E-001                  1.3010818290064643E+000                  6.9665172696426347E-001                  2.8280286117532460E-001                  5.1951270280004339E-004                  9.3600806195768462E-003                  3.4416106108119920E-003                  9.3604466091399760E-003                  6.9953885663498094E-001                  2.8028328346241121E-001                                        0                                        0                                        4 
                                      30                                      783                  1.1818815689988479E+008                  7.2962561353811193E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  2.4335858548268042E-003                  9.9999999996478117E-001                  9.7184772678965914E-001                  2.1128314016634064E-003                  7.8129682056563719E-008                  9.9999999996478117E-001                  9.7184772678965914E-001                  2.1128314016634064E-003                  7.8129682056563719E-008                 -1.4684501523883609E-001                 -4.7343898364369217E+001                 -9.8999999999999986E+001                 -1.4684501523883614E-001                 -1.5537280190665018E-001                 -1.8580499153081864E+000                 -4.7343898364369217E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7498880972829762E+000                 -1.4678992928815215E-001                 -4.9912322757401525E-002                  4.5377139989279280E+000                  1.0153167349715478E-013                  7.1327465648618107E+000                  1.9190752348447002E+000                  1.7178812988485070E+001                  1.9190752348447002E+000                  7.1327465648618107E+000                  6.2393675750835276E-001                  8.4601108100460587E-001                  1.3070436699804993E+000                  6.9200546660889228E-001                  2.8737588982402740E-001                  2.9249468151621792E-005                  9.3590906850445250E-003                  3.4416106108119894E-003                  9.3604466091399760E-003                  6.9901128113141942E-001                  2.8073796516771893E-001                                        0                                        0                                        3 
                                      35                                      782                  2.9483411457712126E+008                  7.6921623656192430E+000                  1.0000000000000000E+000                  3.3298678450560182E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999996478117E-001                  9.7214233102759473E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999996478117E-001                  9.7214233102759473E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -1.4000568606837399E-001                 -4.7188638180411893E+001                 -1.5653559774527022E+001                 -1.4000568606837385E-001                 -1.4449051562994489E-001                 -2.1282845393623826E+000                 -4.7188638180411893E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7504588712542164E+000                 -1.4006542458867169E-001                 -4.7691618350142448E-002                  4.5332725901134099E+000                  6.5270589511203031E-014                  7.1344753396951432E+000                  1.9285557078617750E+000                  1.7185782698659072E+001                  1.9285557078617750E+000                  7.1344753396951432E+000                  6.3017594310584113E-001                  8.3968751252273399E-001                  1.3234508629732702E+000                  6.7936003840841852E-001                  3.0002452226483717E-001                  1.4842555259144758E-005                  9.3552578613596300E-003                  3.4416106108119886E-003                  9.3604466091399760E-003                  6.9772017595247404E-001                  2.8192133321112922E-001                                        0                                        0                                        4 
